"Story","Title","Result","Date","Stability","Duration (s)"
"Buy a product on a technology page.","Buy a computer on the page.","ERROR","2021-06-16T13:18:39.141-05:00[America/Bogota]","0.0","14.8"
"Buy a product on a technology page.","Can't buy a computer on the page","ERROR","2021-06-16T13:18:55.3-05:00[America/Bogota]","0.0","13.38"
